breeding,score,generation
2point,6193.685393258427,102
2point,6120.685393258427,103
2point,6137.606741573034,104
2point,6076.404494382023,105
2point,6076.404494382023,106
2point,6105.76404494382,107
2point,6105.76404494382,108
2point,6278.685393258427,109
2point,6278.685393258427,110
2point,6278.685393258427,111
2point,6278.685393258427,112
2point,6278.685393258427,113
2point,6278.685393258427,114
2point,6237.3258426966295,115
2point,6335.685393258427,116
2point,6335.685393258427,117
2point,6254.404494382023,118
2point,6333.044943820225,119
2point,6345.76404494382,120
2point,6345.76404494382,121
2point,6345.76404494382,122
2point,6345.76404494382,123
2point,6345.76404494382,124
2point,6345.76404494382,125
2point,6345.76404494382,126
2point,6345.76404494382,127
2point,6345.76404494382,128
2point,6345.76404494382,129
2point,6345.76404494382,130
2point,6345.76404494382,131
2point,6345.76404494382,132
2point,6308.685393258427,133
2point,6308.685393258427,134
2point,6308.685393258427,135
2point,6308.685393258427,136
2point,6308.685393258427,137
2point,6200.606741573034,138
2point,6183.404494382023,139
2point,6183.404494382023,140
2point,6207.606741573034,141
2point,6242.966292134832,142
2point,6242.966292134832,143
2point,6258.966292134832,144
2point,6242.966292134832,145
2point,6183.404494382023,146
2point,6209.606741573034,147
2point,6271.966292134832,148
2point,6271.966292134832,149
2point,6271.966292134832,150
2point,6271.966292134832,151
2point,6215.606741573034,152
2point,6215.606741573034,153
2point,6200.3258426966295,154
2point,6229.966292134832,155
2point,6321.044943820225,156
2point,6321.044943820225,157
2point,6321.044943820225,158
2point,6321.044943820225,159
2point,6321.044943820225,160
2point,6321.044943820225,161
2point,6321.044943820225,162
2point,6321.044943820225,163
2point,6328.404494382023,164
2point,6328.404494382023,165
2point,6269.3258426966295,166
2point,6269.3258426966295,167
2point,6269.3258426966295,168
2point,6269.3258426966295,169
2point,6269.3258426966295,170
2point,6269.3258426966295,171
2point,6288.404494382023,172
2point,6275.404494382023,173
2point,6275.404494382023,174
2point,6294.404494382023,175
2point,6294.404494382023,176
2point,6294.404494382023,177
2point,6294.404494382023,178
2point,6294.404494382023,179
2point,6294.404494382023,180
2point,6260.685393258427,181
2point,6342.044943820225,182
2point,6342.044943820225,183
2point,6342.044943820225,184
2point,6342.044943820225,185
2point,6342.044943820225,186
2point,6342.044943820225,187
2point,6432.123595505618,188
2point,6432.123595505618,189
2point,6432.123595505618,190
2point,6432.123595505618,191
2point,6432.123595505618,192
2point,6432.123595505618,193
2point,6390.76404494382,194
2point,6390.76404494382,195
2point,6390.76404494382,196
2point,6491.123595505618,197
2point,6491.123595505618,198
2point,6491.123595505618,199
uniform,4633.370786516854,0
uniform,4771.168539325843,1
uniform,4842.089887640449,2
uniform,4919.808988764045,3
uniform,5044.808988764045,4
uniform,5459.3258426966295,5
uniform,5459.3258426966295,6
uniform,5352.606741573034,7
uniform,5450.247191011236,8
uniform,5647.123595505618,9
uniform,5435.404494382023,10
uniform,5580.3258426966295,11
uniform,5626.404494382023,12
uniform,5628.685393258427,13
uniform,5712.966292134832,14
uniform,5709.044943820225,15
uniform,5863.483146067416,16
uniform,5863.483146067416,17
uniform,5878.044943820225,18
uniform,5916.404494382023,19
uniform,5916.404494382023,20
uniform,5916.404494382023,21
uniform,5916.404494382023,22
uniform,5916.404494382023,23
uniform,5827.685393258427,24
uniform,5895.685393258427,25
uniform,5830.3258426966295,26
uniform,5844.044943820225,27
uniform,5849.606741573034,28
uniform,5844.044943820225,29
uniform,5904.606741573034,30
uniform,5941.966292134832,31
uniform,5983.685393258427,32
uniform,5983.685393258427,33
uniform,6078.3258426966295,34
uniform,5983.685393258427,35
uniform,6100.3258426966295,36
uniform,6100.3258426966295,37
uniform,6100.3258426966295,38
uniform,6100.3258426966295,39
uniform,6100.3258426966295,40
uniform,6100.3258426966295,41
uniform,6100.3258426966295,42
uniform,6100.3258426966295,43
uniform,6034.044943820225,44
uniform,6034.044943820225,45
uniform,6034.044943820225,46
uniform,6072.044943820225,47
uniform,6072.044943820225,48
uniform,6072.044943820225,49
