run,restarts,r-value,score
107,1,100,1086.314606741573
108,1,100,6211.123595505618
109,1,100,6359.123595505618
110,1,100,5948.561797752809
111,1,100,5545.449438202247
112,1,100,5346.011235955056
113,1,100,4229.61797752809
114,1,100,5324.011235955056
115,1,100,6069.2808988764045
116,1,100,6182.921348314607
117,1,100,4282.977528089888
118,1,100,1101.314606741573
119,1,100,6105.966292134832
120,1,100,2820.505617977528
121,1,100,5503.449438202247
122,1,100,5910.640449438202
123,1,100,6100.2808988764045
124,1,100,6126.921348314607
125,1,100,5761.640449438202
126,1,100,6266.483146067416
127,1,100,5805.887640449438
128,1,100,2881.865168539326
129,1,100,5461.370786516854
130,1,100,3628.1011235955057
131,1,100,5955.921348314607
132,1,100,5928.921348314607
133,1,100,6296.842696629214
134,1,100,6012.561797752809
135,1,100,5092.292134831461
136,1,100,4739.134831460674
137,1,100,1528.752808988764
138,1,100,6329.640449438202
139,1,100,4510.696629213483
140,1,100,5906.685393258427
141,1,100,6140.044943820225
142,1,100,5848.561797752809
143,1,100,2376.3483146067415
144,1,100,3108.5842696629215
145,1,100,6095.921348314607
146,1,100,1085.314606741573
147,1,100,5981.123595505618
148,1,100,6354.842696629214
149,1,100,5850.3258426966295
150,1,100,6236.404494382023
151,1,100,5666.202247191011
152,1,100,5814.2808988764045
153,1,100,6180.561797752809
154,1,100,2178.629213483146
155,1,100,6310.561797752809
156,1,100,6253.404494382023
157,1,100,2910.865168539326
158,1,100,5987.921348314607
159,1,100,6213.483146067416
160,1,100,5866.483146067416
161,1,100,5846.247191011236
162,1,100,1192.6741573033707
163,1,100,6068.123595505618
164,1,100,5624.089887640449
165,1,100,4352.337078651685
166,1,100,4971.85393258427
167,1,100,5515.449438202247
168,1,100,5853.2808988764045
169,1,100,5994.3258426966295
170,1,100,6072.921348314607
171,1,100,4506.696629213483
172,1,100,4184.61797752809
173,1,100,1938.9101123595506
174,1,100,5846.0
175,1,100,5908.966292134832
176,1,100,5128.932584269663
177,1,100,5113.213483146067
178,1,100,5989.561797752809
179,1,100,5722.52808988764
180,1,100,5846.921348314607
181,1,100,5817.247191011236
182,1,100,3882.820224719101
183,1,100,5205.370786516854
184,1,100,4815.213483146067
185,1,100,5881.921348314607
186,1,100,1183.6741573033707
187,1,100,6132.640449438202
188,1,100,4369.337078651685
189,1,100,2040.2696629213483
190,1,100,5878.247191011236
191,1,100,5878.0
192,1,100,5703.808988764045
193,1,100,5106.573033707865
194,1,100,3696.1011235955057
195,1,100,6218.202247191011
196,1,100,5923.247191011236
197,1,100,6080.3258426966295
198,1,100,6133.921348314607
199,1,100,5684.640449438202
200,1,100,4383.337078651685
201,1,100,5355.730337078652
202,1,100,2068.2696629213483
203,1,100,4894.85393258427
204,1,100,5966.0
205,1,100,6039.404494382023
206,1,100,5980.606741573034
207,1,100,5896.561797752809
208,1,100,6061.0
209,1,100,4210.61797752809
210,1,100,6229.483146067416
211,1,100,4366.337078651685
